Raw Name,Standardized Name
Minardi Motori Moderni,Minardi
Moda Judd,Moda
Moore Offenhauser,Moore
MRT Mercedes,Manor
Nichels Offenhauser,Nichels
Olson Offenhauser,Olson
Onyx Ford,Onyx
OSCA,OSCA
Osella,Osella
Osella Alfa Romeo,Osella
Osella Ford,Osella
Osella Hart,Osella
Pacific Ilmor,Pacific
Pankratz Offenhauser,Pankratz
Parnelli Ford,Parnelli
Pawl Offenhauser,Pawl
Penske Ford,Penske
Phillips Offenhauser,Phillips
Politoys Ford,Politoys
Porsche,Porsche
Porsche (F2),Porsche
Prost Acer,Prost
Prost Mugen Honda,Prost
Prost Peugeot,Prost
Protos Cosworth,Protos
Racing Bulls,Racing Bulls
Racing Point BWT Mercedes,Racing Point
Rae Offenhauser,Rae
RAM Ford,RAM
RAM Hart,RAM
RB Honda RBPT,RB
RBR Cosworth,Red Bull Racing
RBR Ferrari,Red Bull Racing
RBR Renault,Red Bull Racing
Rebaque Ford,Rebaque
Red Bull Racing,Red Bull Racing
Red Bull Racing Honda,Red Bull Racing
Red Bull Racing Honda RBPT,Red Bull Racing
Red Bull Racing RBPT,Red Bull Racing
Red Bull Racing Renault,Red Bull Racing
Red Bull Racing TAG Heuer,Red Bull Racing
Red Bull Renault,Red Bull Racing
Renault,Renault
Rial Ford,Rial
Sauber,Sauber
Sauber BMW,BMW Sauber
Sauber Ferrari,Sauber
Sauber Ford,Sauber
Sauber Mercedes,Sauber
Sauber Petronas,Sauber
Scarab,Scarab
Schroeder Offenhauser,Schroeder
Scirocco BRM,Scirocco
Scirocco Climax,Scirocco
Scuderia Toro Rosso Honda,Toro Rosso
Shadow Ford,Shadow
Shadow Matra,Shadow
Shannon Climax,Shannon
Sherman Offenhauser,Sherman
Simca-Gordini,Simca-Gordini
Simtek Ford,Simtek
Snowberger Offenhauser,Snowberger
Spirit Hart,Spirit
Spirit Honda,Spirit
Spyker Ferrari,Spyker
Stebro Ford,Stebro
Stevens Offenhauser,Stevens
Stewart Ford,Stewart
STR Cosworth,Toro Rosso
STR Ferrari,Toro Rosso
STR Renault,Toro Rosso
Super Aguri Honda,Super Aguri
Surtees Ford,Surtees
Sutton Offenhauser,Sutton
Talbot-Lago,Talbot-Lago
Tec-Mec Maserati,Tec-Mec Maserati
Tecno,Tecno
Tecno Cosworth,Tecno
Theodore Ford,Theodore
Thin Wall Ferrari,Thin Wall
Token Ford,Token
Toleman Hart,Toleman Hart
Toro Rosso,Toro Rosso
Toro Rosso Ferrari,Toro Rosso
Toyota,Toyota
Trevis Offenhauser,Trevis
Trojan Ford,Trojan
Turner Offenhauser,Turner
Tyrrell Ford,Tyrrell
Tyrrell Honda,Tyrrell
Tyrrell Ilmor,Tyrrell
Tyrrell Renault,Tyrrell
Tyrrell Yamaha,Tyrrell
Vanwall,Vanwall
Venturi Lamborghini,Venturi
Veritas,Veritas
Virgin Cosworth,Virgin
Watson Offenhauser,Watson
Wetteroth Offerhauser,Wetteroth
Williams,Williams
Williams BMW,Williams
Williams Cosworth,Williams
Williams Ford,Williams
Williams Honda,Williams
Williams Judd,Williams
Williams Mecachrome,Williams
Williams Mercedes,Williams
Williams Renault,Williams
Williams Supertec,Williams
Williams Toyota,Williams
Wolf Ford,Wolf
Wolf-Williams,Wolf-Williams
Zakspeed,Zakspeed
Zakspeed Yamaha,Zakspeed
Audi,Audi
Cadillac,Cadillac
