year,rank,team,engine,points,outof,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,race16,race17,race18,race19,race20,race21
2013,8,"Toro Rosso","",33,,-,1,6,-,1,4,8,4,-,-,1,6,-,-,-,1,-,,,,
2013,9,"Williams","Renault",5,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,
2013,10,"Marussia","Cosworth",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2013,11,"Caterham","Renault",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2014,1,"Mercedes","",701,,25,43,43,43,43,43,18,43,25,40,27,18,43,25,43,43,43,,,,
2014,2,"Red Bull","Renault",405,,-,15,20,22,27,15,40,4,25,20,31,35,18,33,27,10,21,,,,
2014,3,"Williams","",320,,10,10,10,6,10,6,6,27,18,18,14,15,27,10,14,15,22,,,,
2014,4,"Ferrari","",216,,18,12,3,19,14,12,9,11,8,10,26,18,2,16,-,10,8,,,,
2014,5,"McLaren","",181,,33,10,-,-,-,9,14,6,18,6,1,8,5,1,10,22,4,,,,
2014,6,"Force India","",155,,9,10,25,10,3,10,10,10,4,7,-,5,6,8,5,1,-,,,,
2014,7,"Toro Rosso","Renault",30,,6,1,-,1,-,-,4,-,3,-,2,2,-,8,2,-,1,,,,
2014,8,"Lotus","Renault",10,,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,2,,,,
2014,9,"Marussia","",2,,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,,,,,,
2014,10,"Sauber","",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2014,11,"Caterham","Renault",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
2015,1,"Mercedes","",703,,43,33,43,40,43,40,43,43,43,12,43,25,12,43,25,43,43,,,,
2015,2,"Ferrari","",428,,15,37,27,28,25,26,22,12,19,25,6,28,40,27,22,15,-,,,,
2015,3,"Williams","",257,,12,18,18,13,20,-,23,25,22,-,10,27,10,10,12,-,23,,,,
2015,4,"Red Bull","Renault",187,,8,3,2,10,7,22,2,1,8,33,12,5,26,-,10,1,22,,,,
2015,5,"Force India","",136,,7,-,-,4,-,6,4,10,8,-,10,14,6,8,15,10,10,,,,
2015,6,"Lotus","",78,,-,-,6,6,4,-,7,6,-,6,15,-,-,10,6,4,1,,,,
2015,7,"Toro Rosso","Renault",67,,2,10,-,-,2,1,-,4,-,12,4,-,6,3,1,18,2,,,,
2015,8,"Sauber","",36,,14,-,5,-,-,2,-,-,-,1,1,2,1,-,8,2,-,,,,
2015,9,"McLaren","",27,,-,-,-,-,-,4,-,-,1,12,-,-,-,-,2,8,-,,,,
2015,10,"Marussia","",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2016,1,"Mercedes","",765,,43,40,31,43,-,31,35,35,37,40,43,37,40,43,40,15,40,43,43,,
2016,2,"Red Bull","TAG Heuer",468,,12,18,27,-,37,18,18,10,28,30,25,33,18,16,26,43,26,15,27,,
2016,3,"Ferrari","",398,,15,18,28,15,33,12,26,30,15,12,20,18,10,27,22,12,22,12,18,,
2016,4,"Force India","",173,,6,-,-,2,6,23,5,17,-,14,1,7,22,5,4,12,10,4,7,,
2016,5,"Williams","",138,,14,6,9,22,14,1,15,9,2,-,2,2,5,10,-,10,3,6,6,,
2016,6,"McLaren","",76,,-,1,-,9,2,12,-,-,8,-,6,4,6,-,6,8,-,12,-,,
2016,7,"Toro Rosso","",63,,3,8,6,-,9,4,2,-,4,5,4,-,-,-,2,-,-,8,-,,
2016,8,"Haas","",29,,8,10,-,4,-,-,-,-,6,-,-,-,-,-,-,-,-,1,-,,
2016,9,"Renault","",8,,-,-,-,6,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,
2016,10,"Sauber","",2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2016,11,"Manor","",1,,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,
2017,1,"Mercedes","",668,,33,33,33,37,25,18,43,28,37,43,27,35,43,40,28,37,35,20,,,
2017,2,"Ferrari","",522,,37,28,37,33,18,43,18,12,28,21,43,30,25,-,12,10,33,27,,,
2017,3,"Red Bull","TAG Heuer",368,,10,27,10,10,15,25,15,25,15,22,10,15,13,18,40,33,12,25,,,
2017,4,"Force India","",187,,7,3,7,14,22,-,18,8,10,6,6,2,10,11,9,14,12,16,,,
2017,5,"Williams","",83,,8,-,8,2,-,2,2,15,3,1,-,4,10,4,6,1,2,8,,,
2017,6,"Renault","",57,,-,-,2,4,8,-,4,-,-,8,-,8,-,8,-,-,6,-,,,
2017,7,"Toro Rosso","Renault",53,,6,6,-,1,8,8,-,4,-,-,6,1,-,12,-,-,1,-,,,
2017,8,"Haas","",47,,-,4,4,-,1,5,1,6,8,-,-,6,-,2,-,6,-,4,,,
2017,9,"McLaren","",30,,-,-,-,-,-,-,-,2,-,-,9,-,-,6,6,-,-,1,,,
2017,10,"Sauber","",5,,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,,,
2018,1,"Mercedes","",655,,22,33,30,25,43,25,28,31,-,30,43,35,30,40,37,43,43,25,22,,
2018,2,"Ferrari","",571,,40,25,19,30,12,30,33,25,33,40,15,33,25,30,25,27,18,37,33,,
2018,3,"Red Bull","TAG Heuer",419,,20,-,35,-,25,27,27,30,25,10,12,12,15,10,26,18,27,18,25,,
2018,4,"Renault","",122,,7,8,10,10,6,5,10,6,-,8,10,2,-,4,5,-,1,14,8,,
2018,5,"Haas","",93,,-,10,1,-,8,-,-,8,22,2,8,7,10,-,-,4,4,-,-,,
2018,6,"McLaren","Renault",62,,12,10,6,8,4,-,-,-,4,4,-,4,-,-,6,-,-,-,4,,
2018,7,"Force India","",52,,-,-,-,-,-,-,-,-,-,-,-,-,18,14,-,3,8,4,-,,
2018,8,"Sauber","",48,,-,2,-,8,1,-,1,1,3,-,2,-,1,-,2,6,-,1,8,,
2018,9,"Toro Rosso","",33,,-,12,-,1,-,6,-,-,-,-,1,8,2,-,-,-,-,2,1,,
2018,10,"Williams","",7,,-,-,-,4,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,,
2019,1,"Mercedes","",739,,44,43,43,43,44,40,38,43,25,44,2,29,33,34,22,44,41,40,43,,
2019,2,"Ferrari","",504,,22,26,25,26,22,18,33,26,30,15,18,27,38,25,43,15,26,31,13,,
2019,3,"Red Bull","",417,,15,16,21,12,23,23,14,13,32,22,26,27,10,12,23,22,12,18,25,,
2019,4,"McLaren","Renault",145,,-,8,-,10,4,8,-,10,12,8,10,12,-,1,6,12,10,-,10,,
2019,5,"Renault","",91,,6,-,6,-,-,2,14,4,-,7,-,-,4,22,2,1,-,5,10,,
2019,6,"Toro Rosso","",85,,1,2,1,-,2,10,1,-,-,2,23,1,8,-,4,-,7,2,-,,
2019,7,"Racing Point","BWT Mercedes",73,,2,1,4,10,-,-,2,-,-,-,12,-,9,6,-,6,6,6,1,,
2019,8,"Alfa Romeo","",57,,4,6,2,1,-,-,-,6,3,4,-,6,-,2,1,-,-,-,-,,
2019,9,"Haas","",28,,8,-,-,-,7,1,-,-,-,-,10,-,-,-,-,2,-,-,-,,
2019,10,"Williams","",1,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,
2020,1,"Mercedes","",573,,37,43,41,25,34,41,43,17,44,41,25,44,44,25,29,,,,,,
2020,2,"Red Bull","",319,,-,27,28,23,35,22,23,-,15,19,19,15,-,14,34,,,,,,
2020,3,"McLaren","Renault",202,,26,13,2,10,2,9,6,30,8,-,10,8,10,15,22,,,,,,
2020,4,"Racing Point","BWT Mercedes",195,,8,-1,18,2,14,22,3,16,10,12,16,6,8,20,-,,,,,,
2020,5,"Renault","",181,,4,4,4,20,4,-,23,12,12,16,15,6,15,1,8,,,,,,
2020,6,"Ferrari","",131,,19,-,8,16,12,6,-,-,5,8,6,13,10,27,1,,,,,,
2020,7,"AlphaTauri","",107,,6,1,-,6,1,2,4,27,6,6,8,10,12,-,8,,,,,,
2020,8,"Alfa Romeo","",8,,2,-,-,-,-,-,-,-,2,-,1,-,3,-,-,,,,,,
2020,9,"Haas","",3,,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,,,,,,
2020,10,"Williams","",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
2021,1,"Mercedes","",613.50,,41,19,41,40,7,-,30,34,30,43,18,7.5,34,18,35,36,27,18,43,25,41
2021,2,"Red Bull","",585.50,,28,25,30,29,37,25,41,37,34,3,2,12.5,29,12,20,33,40,40,33,31,18
2021,3,"Ferrari","",323.50,,12,22,8,18,18,16,-,14,14,26,15,2.5,16,20,15,16,18,18,19,10,10
2021,4,"McLaren","",275,,18,23,12,12,15,12,18,10,21,22,-,6,1,45,19,6,14,1,1,2,
2021,5,"Alpine","Renault",155,,-,3,10,2,2,8,4,2,1,8,37,3,10,5,8,1,-,2,6,25,
2021,6,"AlphaTauri","",142,,2,6,1,1,8,21,6,1,2,1,19,4,12,-,-,8,2,12,6,-,
2021,7,"Aston Martin","",77,,1,4,-,-,14,18,3,4,-,4,-,5,-,6,-,2,1,6,-,9,
2021,8,"Williams","",23,,-,-,-,-,-,-,-,-,-,-,10,10,-,2,1,-,-,-,-,-,
2021,9,"Alfa Romeo","",13,,-,-,-,-,1,1,-,-,-,-,1,-,-,-,4,-,-,4,-,-,
2021,10,"Haas","",0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2022,1,"Red Bull","RBPT",759,,-,37,18,58,38,44,40,44,25,24,31,37,35,44,36,34,31,43,37,40,
2022,2,"Ferrari","",554,,44,34,26,20,33,12,30,-,29,37,38,11,20,23,19,30,33,15,15,18,
2022,3,"Mercedes","",515,,27,11,27,12,18,25,14,27,27,16,33,33,34,12,30,25,2,14,29,31,
2022,4,"Alpine","Renault",173,,8,8,6,-,4,8,6,7,10,10,14,12,6,16,10,-,-,18,6,4,
2022,5,"McLaren","",159,,-,6,18,22,-,4,9,6,-,8,8,8,6,-,6,6,22,1,8,8,
2022,6,"Alfa Romeo","",55,,9,-,4,12,6,8,2,-,10,-,-,-,-,-,-,1,-,-,-,1,
2022,7,"Aston Martin","",55,,-,-,-,5,1,-,1,8,1,2,-,1,1,4,1,-,12,8,4,-,
2022,8,"Haas","",37,,10,2,-,3,-,-,-,-,-,5,14,-,-,-,-,-,-,-,2,-,
2022,9,"AlphaTauri","RBPT",35,,4,4,2,6,-,1,-,10,-,-,-,-,-,2,-,4,1,-,1,-,
2022,10,"Williams","",8,,-,-,1,-,2,-,-,-,-,-,-,-,-,1,-,2,-,2,-,-,
2023,1,"Red Bull","Honda RBPT",860,,43,44,36,57,44,25,38,34,56,34,41,51,37,43,14,26,34,49,25,51,
2023,2,"Mercedes","",409,,16,22,18,20,20,23,33,15,11,25,20,24,8,18,16,16,21,18,27,11,
2023,3,"Ferrari","",406,,12,14,-,36,16,12,10,22,32,3,10,24,10,27,37,20,13,24,27,13,
2023,4,"McLaren","",302,,-,-,12,2,-,3,-,-,12,30,28,16,8,4,24,33,47,23,14,26,
2023,5,"Aston Martin","",280,,23,15,27,22,15,18,14,20,21,6,3,12,19,2,-,4,9,6,-,25,
2023,6,"Alpine","Renault",120,,2,6,-,-,6,21,5,4,3,-,-,10,16,-,8,3,6,10,1,7,
2023,7,"Williams","",28,,1,-,-,-,-,-,-,6,-,4,-,-,4,6,-,-,2,3,2,-,
2023,8,"AlphaTauri","Honda RBPT",25,,-,-,1,1,-,-,-,-,-,-,-,1,-,-,2,-,-,5,6,5,
2023,9,"Alfa Romeo","",16,,4,-,2,-,-,-,2,1,-,-,-,-,-,1,-,-,6,-,-,-,
2023,10,"Haas","",12,,-,1,6,-,1,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,
2024,1,"McLaren","",666,,12,16,27,14,27,28,30,30,28,25,31,27,43,28,38,34,38,40,28,22,27
2024,2,"Ferrari","",652,,27,22,44,27,31,36,25,40,-,18,21,11,20,23,25,37,18,16,55,41,20
2024,3,"Red Bull","Honda RBPT",589,,44,43,10,44,54,44,29,8,25,29,25,18,16,19,26,12,10,19,29,8,32
2024,4,"Mercedes","",468,,16,10,-,8,18,12,15,17,28,27,45,25,20,25,10,16,17,20,15,22,16
2024,5,"Aston Martin","",94,,3,10,12,8,7,2,2,-,14,-,-,10,1,4,1,-,8,4,-,-,-
2024,6,"Alpine","Renault",65,,-,-,-,-,-,1,-,1,3,3,1,-,-,2,2,-,-,-,-,1,35
2024,7,"Haas","",58,,-,1,3,-,1,2,-,-,-,-,12,8,-,-,-,1,1,2,7,8,-
2024,8,"RB","Honda RBPT",46,,-,-,6,1,-,12,1,4,4,-,2,1,2,1,-,-,-,-,2,-,8
2024,9,"Williams","",17,,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,2,10,-,1,-,-
2024,10,"Kick Sauber","",4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025,1,"McLaren","",833,,27,51,33,40,37,58,33,40,43,12,43,43,56,43,25,33,6,27,28,35,43
2025,2,"Mercedes","",469,,27,30,18,18,18,30,6,-,12,40,10,1,10,16,12,12,30,35,16,14,43
2025,3,"Red Bull","Honda RBPT",451,,18,18,25,10,18,16,26,12,1,18,-,10,20,2,20,25,33,18,41,15,20
2025,4,"Ferrari","",398,,5,12,18,22,21,16,20,28,23,18,27,12,26,12,-,20,6,12,36,22,6
2025,5,"Williams","",137,,10,7,2,-,6,12,14,3,-,1,-,4,11,-,10,6,15,1,9,-,-
2025,6,"Racing Bulls","Honda RBPT",92,,-,3,4,-,1,-,2,12,6,-,8,-,5,4,15,1,11,-,-,-,10
2025,7,"Aston Martin","",89,,8,2,-,-,-,4,-,-,2,6,6,8,-,16,10,-,-,6,1,-,3
2025,8,"Haas","",79,,-,14,1,5,-,-,-,6,-,2,1,-,6,-,9,-,-,2,2,14,8
2025,9,"Kick Sauber","",70,,6,-,-,-,-,-,-,-,10,4,6,15,2,8,-,4,-,-,4,1,2
2025,10,"Alpine","Renault",22,,-,-,-,6,-,1,-,-,4,-,-,8,1,-,-,-,-,-,-,-,2
