season,round,circuit,driver_id,driver,position,points_recorded,base_points,fl_points,note
1955,1,"Autódromo Juan y Oscar Gálvez, Argentina",653,Umberto Maglioli,3,1.3,4,-2.7,Shared Fastest Lap (fractional pt)
1955,2,"Circuit de Monaco, Monaco",11,Juan Manuel Fangio,999,1.0,0,1.0,Fastest Lap (+1 pt)
1955,3,"Indianapolis Motor Speedway, United States",164,Bill Vukovich,25,1.0,0,1.0,Fastest Lap (+1 pt)
1955,4,"Circuit de Spa-Francorchamps, Belgium",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1955,5,"Circuit Zandvoort, Netherlands",527,Roberto Mieres,4,4.0,3,1.0,Fastest Lap (+1 pt)
1955,6,"Aintree Racecourse, Great Britain",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1955,7,"Autodromo Nazionale Monza, Italy",159,Stirling Moss,14,1.0,0,1.0,Fastest Lap (+1 pt)
1956,1,"Autódromo Juan y Oscar Gálvez, Argentina",268,Chico Landi,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1956,1,"Autódromo Juan y Oscar Gálvez, Argentina",916,Gerino Gerini,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1956,2,"Circuit de Monaco, Monaco",816,Eugenio Castellotti,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1956,3,"Indianapolis Motor Speedway, United States",69,Paul Russo,33,1.0,0,1.0,Fastest Lap (+1 pt)
1956,4,"Circuit de Spa-Francorchamps, Belgium",159,Stirling Moss,3,3.0,4,1.0,Fastest Lap (+1 pt) [Manual]
1956,5,"Circuit de Reims-Gueux, France",11,Juan Manuel Fangio,4,4.0,3,1.0,Fastest Lap (+1 pt)
1956,6,"Silverstone Circuit, Great Britain",159,Stirling Moss,999,1.0,0,1.0,Fastest Lap (+1 pt)
1956,7,"Nürburgring, Germany",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1956,8,"Autodromo Nazionale Monza, Italy",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1957,1,"Autódromo Juan y Oscar Gálvez, Argentina",159,Stirling Moss,8,1.0,0,1.0,Fastest Lap (+1 pt)
1957,2,"Circuit de Monaco, Monaco",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1957,3,"Indianapolis Motor Speedway, United States",58,Jim Rathmann,2,7.0,6,1.0,Fastest Lap (+1 pt)
1957,4,"Rouen les Essarts, France",643,Luigi Musso,2,7.0,6,1.0,Fastest Lap (+1 pt)
1957,5,"Aintree Racecourse, Great Britain",159,Stirling Moss,1,5.0,8,1.0,Fastest Lap (+1 pt) [Manual]
1957,6,"Nürburgring, Germany",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1957,7,"Pescara Circuit, Italy",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1957,8,"Autodromo Nazionale Monza, Italy",999,Tony Brooks,7,1.0,0,1.0,Fastest Lap (+1 pt)
1958,1,"Autódromo Juan y Oscar Gálvez, Argentina",11,Juan Manuel Fangio,4,4.0,3,1.0,Fastest Lap (+1 pt)
1958,2,"Circuit de Monaco, Monaco",352,Mike Hawthorn,999,1.0,0,1.0,Fastest Lap (+1 pt)
1958,3,"Circuit Zandvoort, Netherlands",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1958,4,"Indianapolis Motor Speedway, United States",72,Tony Bettenhausen,4,4.0,3,1.0,Fastest Lap (+1 pt)
1958,5,"Circuit de Spa-Francorchamps, Belgium",352,Mike Hawthorn,2,7.0,6,1.0,Fastest Lap (+1 pt)
1958,6,"Circuit de Reims-Gueux, France",352,Mike Hawthorn,1,9.0,8,1.0,Fastest Lap (+1 pt)
1958,7,"Silverstone Circuit, Great Britain",352,Mike Hawthorn,2,7.0,6,1.0,Fastest Lap (+1 pt)
1958,8,"Nürburgring, Germany",159,Stirling Moss,999,1.0,0,1.0,Fastest Lap (+1 pt)
1958,9,"Circuit da Boavista, Portugal",352,Mike Hawthorn,2,7.0,6,1.0,Fastest Lap (+1 pt)
1958,10,"Autodromo Nazionale Monza, Italy",1203,Phil Hill,3,5.0,4,1.0,Fastest Lap (+1 pt)
1958,11,"Ain-Diab Circuit, Morocco",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1959,1,"Circuit de Monaco, Monaco",888,Jack Brabham,1,9.0,8,1.0,Fastest Lap (+1 pt)
1959,2,"Indianapolis Motor Speedway, United States",508,Johnny Thomson,3,5.0,4,1.0,Fastest Lap (+1 pt)
1959,3,"Circuit Zandvoort, Netherlands",159,Stirling Moss,999,1.0,0,1.0,Fastest Lap (+1 pt)
1959,4,"Circuit de Reims-Gueux, France",159,Stirling Moss,999,1.0,0,1.0,Fastest Lap (+1 pt)
1959,5,"Aintree Racecourse, Great Britain",159,Stirling Moss,2,6.5,6,0.5,Shared Fastest Lap (fractional pt)
1959,5,"Aintree Racecourse, Great Britain",1222,Bruce McLaren,3,4.5,4,0.5,Shared Fastest Lap (fractional pt)
1959,6,"Automobil-Verkehrs und Übungs-Straße, Germany",999,Tony Brooks,1,9.0,8,1.0,Fastest Lap (+1 pt)
1959,7,"Monsanto Park, Portugal",159,Stirling Moss,1,9.0,8,1.0,Fastest Lap (+1 pt)
1959,8,"Autodromo Nazionale Monza, Italy",1203,Phil Hill,2,7.0,6,1.0,Fastest Lap (+1 pt)
1959,9,"Sebring Raceway, United States",36,Maurice Trintignant,2,7.0,6,1.0,Fastest Lap (+1 pt)
